"","date","topic","dem","rep","public","pubdem","pubrep","media","random","random_us"
"1",19359,"benghazi",0.000688813375527766,0.000397116635916673,9.67642049852918e-06,4.42847382139332e-05,0.000157726716382128,0.000810560444650301,5.68446662649644e-06,0.000294250008654412
"2",19360,"benghazi",0.00031682438471019,0.00117172190806786,0.000161669289301804,6.02518527444719e-06,0.000395203965436399,0.00030902348578492,8.59254167382712e-05,0.000101055014349812
"3",19361,"benghazi",0.000226137992095439,0.000247076941225603,1.10906550140851e-05,7.00250689746929e-06,7.41883791322927e-06,0.000112994350282486,3.23897130271426e-05,5.63719042429253e-05
"4",19362,"benghazi",0.000359195402298851,0.000603196879722103,5.49764700708097e-05,5.44238843103716e-05,4.04478384675123e-05,0.00011671335200747,3.40043525571273e-05,1.99944015675611e-05
"5",19363,"benghazi",0.00274972107856205,0.00271154242078272,1.34033883765816e-05,0.000222057735011103,2.86117575248922e-05,0.000559492726594554,7.21084511104701e-06,2.10084033613445e-05
"6",19364,"benghazi",0.0015083809416068,0.0012696185166073,8.88956618916997e-05,3.17158261972724e-05,0.000289224877328759,0.00147991543340381,0.000194944877655284,0.00013374603538538
"7",19365,"benghazi",0.00102777221747069,0.000457753071395314,7.69653655854865e-05,0.000294692172975886,0.000616544226193578,0.0001404099971918,4.33581507129319e-05,0.000131871444180702
"8",19366,"benghazi",0.00219289767727678,0.000375543207620849,0.000613484592485317,4.84744401202166e-05,2.02055578754529e-05,0.00221565731166913,7.32914632358745e-05,1.53638151425762e-05
"9",19367,"benghazi",0.00407556769470722,0.00583481833481833,0.000138197899391929,6.64942741041744e-05,0.000101799501965513,0.000179468772433597,6.09436514998233e-06,1.78967714224354e-05
"10",19368,"benghazi",0.00143749564065007,0.000928743438546968,1.04499759650553e-05,5.24218913818411e-05,0.0011427607258448,0.000444839857651246,6.08287306260493e-06,1.76329524615602e-05
"11",19369,"benghazi",0.000941990765159296,0.00186456782581961,0.000289826104337398,0.00012652010181147,0.00225275005525613,0.000695216907675195,6.13979075593104e-06,0.000130285884455033
"12",19370,"benghazi",0.00126507161546139,0.00140418195973752,6.49924608745386e-05,0.000114824944153323,3.16689538688905e-05,0.000180897250361794,3.49347419021268e-05,0.000109923932638614
"13",19371,"benghazi",0.00189070649596965,0.00612318097970896,1.06387505851313e-05,2.86576745252379e-05,0.000445438042089693,0.00148305084745763,6.20131964081957e-06,9.29091719934592e-05
"14",19372,"benghazi",0.00141469789076172,0.000861011009590829,7.23948206676871e-05,3.52107716792721e-05,7.04302505751804e-05,0.000105086170659941,5.8243153517304e-06,0.000161957890948353
"15",19373,"benghazi",0.000682043650793651,0.00157250164789207,0.000231338679827267,0.000421695908858379,7.54842313440722e-06,0.00244544770504138,9.15929851985736e-05,0.000343866507402179
